UFID,x,y
100037709001B00112be161e672c14f62,127.0013851725,37.4951641319
100037709001B0011511eb0ac55f84cca,127.0015950143,37.4953441529
100037709001B001149ca7ceca24c4dc6,127.0006859819,37.4952560231
100037709001B0011cd0ade7ac6fd47ee,127.0007611029,37.4953916309
100037709001B00113f7f1bd3e1b5460c,127.0013849598,37.4953665315
100037612010B0011917cf4338bd44a96,126.9998257311,37.4967446547
100037612010B00112fb8a8f0a08b43a5,126.9999697751,37.4965053412
100037612010B001179b47bbc122a4eb0,126.9999382653,37.4961073716
100037612010B0011974a717b7ad9416b,126.9999792452,37.4972047675
100037612010B0011219131cbfae848d2,126.9911071996,37.4976883729
100037612010B0011c27183be838c4a1a,126.9959871397,37.4981460619
100037612010B0011c02cd2f2d9ba4611,126.9941346009,37.4962904730
100037612010B00119e483887aecd4fbb,126.9918474484,37.4979109846
100037612010B0011fc0fbd2e288945d2,126.9931638575,37.4964952612
100037612010B00114909e532f4eb4c6c,126.9937114785,37.4969018787
100037612010B001170023deebfdd439e,126.9951441730,37.4980415708
100037612010B0011226374e159ba4bf5,126.9927709207,37.4972193626
100037612010B0011113759d8df3540d7,126.9999852440,37.4937723402
100037612010B0011f9d034f35b284873,126.9998883095,37.4936482216
100037612010B0011ac243b800d2f4931,126.9999536707,37.4963118711
100037612010B001155133ef7ce6f4225,126.9999537504,37.4939460496
100037612010B0011806fa360967d4625,126.9997103994,37.4974189707
100037612010B0011382dce3670c74958,126.9997816855,37.4963248075
100037612010B0011fb836389a5cb4a42,126.9998322830,37.4938072561
100037612010B0011b888607cc24b49ee,126.9998307952,37.4939907378
100037612010B0011b300bbf1b9834af1,126.9998688550,37.4969879681
100037612010B00116f927c6436974aaa,126.9998173216,37.4950303034
100037612010B00112c982827f58f4b30,126.9997598034,37.4995984329
100037612010B001191bc065865f5470e,126.9998740179,37.4943929554
100037612010B001159c33768c8a24631,126.9964917191,37.4971255435
100037612010B0011bfefa45820284e8d,126.9971881820,37.4964299613
100037612010B0011fff281f9081445dc,126.9976447290,37.4962540630
100037612010B001146f26d0851b546f5,126.9977809684,37.4962407680
100037612010B0011be0be82833db40e6,126.9998991300,37.4975943656
100037612010B00111e89dbcc88d145e0,126.9997125349,37.4940314527
100037612010B001104606e83e5b242ad,126.9996967956,37.4947686646
100037612010B0011534eb6a82722410d,126.9997103731,37.4936882347
100037612010B0011a330857aa70449d1,126.9986661511,37.4961984349
100037612010B001120f39f39f40b49da,126.9985872078,37.4956167812
100037612010B0011a6ce29e059b74bed,126.9994188377,37.4944771569
100037612010B00110305410e16fb4ead,126.9986794454,37.4963867517
100037612010B001197216bf23913417c,126.9996823591,37.4938459278
100037612010B0011cbc4f82df5fc4d7f,126.9996171698,37.4944649184
100037612010B0011dbbb10f7a7ef45e5,126.9992240774,37.4981847569
100037612010B00112f8cae7c93d24ffb,126.9995102729,37.4978607038
100037612010B001168d0f9bec30a4030,126.9987202356,37.4983285379
100037612010B0011d399498909f14e9f,126.9998014515,37.4965175828
100037612010B00115ff5b6fe875f4b3b,126.9986117088,37.4966153729
100037612010B0011fd7a0f399fec4cdb,126.9986673916,37.4959973950
100037612010B00114faa0718ed5542d7,126.9987016044,37.4957929127
100037612010B00117750d573aacb4012,126.9988113358,37.4974406694
100037612010B00117956187d228b451e,126.9985710010,37.4954324659
100037612010B00115d6fee79c06f4c5e,126.9986306251,37.4968452560
100037612010B001161061259d7d44e26,126.9992676721,37.4972874369
100037612010B0011955c67f9f6c849f4,126.9995833891,37.4994901926
100037612010B0011a118b399633d422d,126.9996024722,37.4963393879
100037612010B00111b5d83569b464b79,126.9992428200,37.4970457252
100037612010B0011adae3ad1477c4462,126.9992476304,37.4948255182
100037612010B0011dc47732118634259,126.9994674441,37.4947932996
100037612010B00118886c8bafb404818,126.9989478757,37.4954257535
100037612010B001138e36c5a212641dd,126.9995347262,37.4949922129
100037612010B0011e12424c4d76b4986,126.9992332852,37.4982856035
100037612010B0011a5be13104a804b91,126.9993353418,37.4987592576
100037612010B0011be61750008f6451c,126.9993302041,37.4992454707
100037612010B00111272eddd3dca402b,126.9994448851,37.4983805077
100037612010B00110e4a3f7de6584a5b,126.9994732365,37.4997192529
100037612010B0011b0d4aaad7dc04553,126.9993195869,37.4989983751
100037612010B0011cb7ab3c837c948f3,126.9994022195,37.4985127996
100037612010B0011ef573a4467094972,126.9994804508,37.4981448129
100037612010B001187cbe5081a2148a5,126.9959721254,37.4976715252
100037612010B00113b6f5bd427e64d15,126.9959942223,37.4982909639
100037612010B0011a853d841b4ed4620,126.9960099466,37.4972659684
100037612010B00117efb2c61eb3847c3,126.9959146612,37.4978222234
100037612010B0011feb4399a5cce4f7f,126.9960971630,37.4955538142
100037612010B001106e85c1f1c944052,126.9961230834,37.4959184950
100037612010B00112f9aa006a97e4bf5,126.9961846028,37.4967183195
100037612010B00114d4761834cda4e93,126.9961745026,37.4964241107
100037612010B0011c8277fa6bc404e0c,126.9991271618,37.4959311070
100037612010B0011f25c3de718f545a4,126.9991905315,37.4964823394
100037612010B0011c680ce0368284a25,126.9992195176,37.4967657414
100037612010B001112921a45306b4fdd,126.9992064992,37.4954628586
100037612010B0011b0ac40c63e9b4e04,126.9991613028,37.4961972301
100037612010B001188b4964b7eec4acf,126.9995825978,37.4961301428
100037612010B00117a901fbeebed4092,126.9996114249,37.4943310074
100037612010B00111cb94d3397424c40,126.9991004865,37.4956746282
100037612010B0011e3885a5aa54d470c,126.9979165479,37.4983024416
100037612010B0011361098e8b5314d6c,126.9979376907,37.4985532894
100037612010B0011b4c0134bcd084893,126.9978460090,37.4975151450
100037612010B00110fa82deb65ce4a71,126.9978735897,37.4990790494
100037612010B00115112faab3efd4a3a,126.9970323714,37.4969192967
100037612010B00118b2bdbd6d35e4772,126.9977938939,37.4969032541
100037612010B0011d474caa61bef419a,126.9974232820,37.4969231524
100037612010B0011c4f02c350f2e428a,126.9962429897,37.4971996243
100037612010B00119e35af601e6a4ff9,126.9959020066,37.4984865163
100037612010B001142c822a51f2c4f27,126.9979104921,37.4937764536
100037612010B0011367f86fa71384f15,126.9983852611,37.4958100286
100037612010B0011605ac6eb64844582,126.9960077447,37.4971190750
100037612010B001196ee2a5d85f14deb,126.9975349483,37.4939466995
100037612010B001181fbd5e8e39541e1,126.9976584781,37.4951908048
100037612010B001195d209bef4424a79,126.9977408164,37.4967314473
100037612010B0011c2645521cf7941e5,126.9977279028,37.4965052150
100037612010B0011f6907984949f426c,126.9967199468,37.4978061398
100037612010B001162292fd897114d7b,126.9971432282,37.4971561516
100037612010B00118166d23294db4508,126.9973027148,37.4976052291
100037612010B0011e8091136064a4938,126.9964891962,37.4973900497
