UFID,x,y
100037612010B0011e3885a5aa54d470c,126.9979165479,37.4983024416
100037612010B0011361098e8b5314d6c,126.9979376907,37.4985532894
100037612010B00113e3c93217c7f4825,126.9981445221,37.4974627132
100037612010B001169667f3c85444faf,126.9980985449,37.4971054695
100037612010B0011b4c0134bcd084893,126.9978460090,37.4975151450
100037612010B00110fa82deb65ce4a71,126.9978735897,37.4990790494
100037612010B0011a6500aebc55446a7,126.9981355514,37.4977269090
100037612010B0011328ee27b34994a8d,126.9981444735,37.4975964825
100037612010B0011fe822b669bf34e82,126.9980530904,37.4968566988
100037612010B00118b2bdbd6d35e4772,126.9977938939,37.4969032541
100037612010B00118a586111e88c4e1d,126.9980229198,37.4966765309
100037612010B00118dbf855ddc34468f,126.9978870292,37.4987883182
100037612010B001117d3af64e5db4d07,126.9979086459,37.4989350827
100037612010B00110a63d8eaecf84416,126.9986249123,37.4999271374
100037612010B0011367f86fa71384f15,126.9983852611,37.4958100286
100037612010B001181fbd5e8e39541e1,126.9976584781,37.4951908048
100037612010B0011f999424fcc074a5a,126.9983503006,37.4996661309
100037612010B001195d209bef4424a79,126.9977408164,37.4967314473
100037612010B0011c2645521cf7941e5,126.9977279028,37.4965052150
100037612010B001122764ad86b974d0d,126.9981517715,37.4981294959
100037612010B0011273017096aab4e58,126.9988821584,37.4991086816
100037612010B00111a736da48bc241a2,126.9981225477,37.4980223209
100037612010B001152491d8b6d8f4735,126.9986055243,37.4991169070
100037612010B001122a920fcf4684b84,126.9989255144,37.4985045866
100037612010B00113bf154f9b96247b8,126.9977397377,37.4972976373
100037612010B0011080ed4561a534fdd,126.9976922325,37.4995257782
100037612010B0011ce2ebe0dec0d4941,126.9985894192,37.4987479119
100037612010B00119938446898cb4da5,126.9978984764,37.4972898062
100037612010B0011633959baf89c422e,126.9985742240,37.4992809389
100037612010B0011ce25a00ec1624edc,126.9987218245,37.4976870219
100037612010B0011e57380df4aae4fd3,126.9986587092,37.4980945850
100037612010B0011a5213ac2a1c94bce,126.9978207809,37.4992067947
100037612010B0011aabce3316b1444e4,126.9986463753,37.4985423703
100037612010B001168a6d79c10e142b9,126.9976363955,37.4959761682
100037612010B0011a5f3164e85344b64,126.9980059568,37.4962509353
100037612010B0011b3b8c73e14c84c69,126.9985037456,37.4977040297
100037612010B00113db2f17f04af4341,126.9983611225,37.4959743065
100037612010B0011acefe3b7b4a549ec,126.9975839633,37.4954617046
100037612010B0011758b0837b287432f,126.9989792558,37.4992639955
100037612010B001100f8e4eec93c415a,126.9985024628,37.4994408046
100037612010B0011fa31cac341e84f71,126.9988868503,37.4980857947
100037612010B0011ef6914e162134045,126.9982076506,37.4983721999
100037612010B001188b9565c3669489a,126.9985619969,37.4979132859
100037612010B001102cee0011e864e6d,126.9989510866,37.4987277769
100037612010B00110a13f522d9c34729,126.9988948479,37.4995445878
100037612010B00116cc83c850d3f41f3,126.9978614223,37.4958389472
100037612010B0011f3afd1eb8a074f25,126.9982091220,37.4952653472
100037612010B00118ac1c8907ca8442f,126.9988250532,37.4992769111
100037612010B00119993f54ad0d94122,126.9982326115,37.4985517369
100037612010B001139c12f4fcb1a46f3,126.9981269037,37.4979161938
100037612010B0011326c4893ef5f4b28,126.9982679959,37.4954407460
100037612010B00112ac967a3c9b347f5,126.9988712561,37.4978863612
100037612010B0011152d5b02486644f7,126.9978496500,37.4954192282
100037612010B0011fabc529724784f28,126.9989286367,37.4983230429
100037612010B0011324da4e509ee46ae,126.9982650457,37.4956088950
100037612010B0011ce87f6fb30584153,126.9982334399,37.4989076136
100037612010B001171ca991c5d56440e,126.9981729523,37.4982471286
100037612010B0011f2ba8bb8e8f94220,126.9985057976,37.4951585703
100037612010B0011a24fc9c702ae4b64,126.9988894758,37.4977052449
100037612010B0011c02004da119c4e76,126.9982495986,37.4990592837
100037612010B001166f79e24437a4faf,126.9982018446,37.4987602356
100037612010B0011ea70c593fe224b29,126.9981594636,37.4991476189
100037612010B00111436e499f9ff40dd,126.9981818794,37.4951119341
100037612010B0011866e57c7af77459a,126.9983536897,37.4997778339
100037612010B0011dddea0409849415e,126.9989977816,37.4990806843
100037612010B001150bfbe90a2cb4294,126.9987732367,37.4987365377
100037612010B0011f2d043b390104751,126.9987664439,37.4990933573
100037612010B00110ec2d18e94ef4720,126.9988443819,37.4975849627
100037612010B0011fff281f9081445dc,126.9976447290,37.4962540630
100037612010B001146f26d0851b546f5,126.9977809684,37.4962407680
100037612010B0011079bf73602ba4253,126.9985274582,37.4983661548
100037612010B00117c059e0776ee49ab,126.9985403618,37.4975702413
100037612010B001143cfa17ab93f4bb6,126.9985762680,37.4989163243
100037612010B0011a330857aa70449d1,126.9986661511,37.4961984349
100037612010B0011f0ff58c8628d419c,126.9977988650,37.4979558427
100037612010B001120f39f39f40b49da,126.9985872078,37.4956167812
100037612010B0011bf64eb0b1a934680,126.9978009412,37.4977053160
100037612010B001121ca18a3e3934ba4,126.9977538806,37.4993545462
100037612010B00110305410e16fb4ead,126.9986794454,37.4963867517
100037612010B00110a94e8fbe72243ea,126.9979133688,37.4996304673
100037612010B00118d591943abee4fc5,126.9978089161,37.4970989102
100037612010B001168d0f9bec30a4030,126.9987202356,37.4983285379
100037612010B00115ff5b6fe875f4b3b,126.9986117088,37.4966153729
100037612010B0011fd7a0f399fec4cdb,126.9986673916,37.4959973950
100037612010B00114faa0718ed5542d7,126.9987016044,37.4957929127
100037612010B00117750d573aacb4012,126.9988113358,37.4974406694
100037612010B00117956187d228b451e,126.9985710010,37.4954324659
100037612010B00115d6fee79c06f4c5e,126.9986306251,37.4968452560
100037612010B0011b20e3bf4bec14a9c,126.9984699097,37.4970825659
100037612010B0011cc74738afa04413b,126.9985066443,37.4973458742
100037612010B0011437418dbf271478c,126.9983760188,37.4962025664
100037612010B00119994e50e4f23434f,126.9983970843,37.4964066622
100037612010B0011fe57819bfb8c466c,126.9984713315,37.4995625337
100037612010B0011baa705a6fd17488f,126.9985620863,37.4990183752
100037612010B0011aedac073c2de4ec4,126.9985172760,37.4974549755
100037612010B001152b2f580eb554d78,126.9980964853,37.4993761823
100037612010B00110aa2c5c7b7eb436b,126.9980469074,37.4989291887
100037612010B001127286514e8684cab,126.9979333364,37.4979599429
100037612010B001126d6e9db925342fd,126.9979773315,37.4981452793
100037612010B0011a580a68248de49eb,126.9980990967,37.4973200191
100037612010B001159fd4d211a2e44ba,126.9979481037,37.4977103952
100037612010B0011733d7cfaffa342ce,126.9987844765,37.4988937073
100037612010B0011d2e04dec35e5493d,126.9989579498,37.4988804151
100037612010B00111f3638dbf86c4f12,126.9980024549,37.4964486793
