UFID,x,y
100037612010B0011e3885a5aa54d470c,955619.6533285980,1944456.3627109700
100037612010B0011361098e8b5314d6c,955621.6706558470,1944484.1827208300
100037612010B00113e3c93217c7f4825,955639.3078964850,1944363.0926489800
100037612010B001169667f3c85444faf,955635.0324393690,1944323.4803748900
100037612010B0011b4c0134bcd084893,955612.9521776400,1944369.0503594600
100037612010B00110fa82deb65ce4a71,955616.3157855010,1944542.5427325300
100037612010B0011a6500aebc55446a7,955638.6712257380,1944392.4077390300
100037612010B0011328ee27b34994a8d,955639.3827304440,1944377.9335242200
100037612010B0011fe822b669bf34e82,955630.8673345270,1944295.9022564600
100037612010B00118b2bdbd6d35e4772,955607.9833095320,1944301.1894897200
100037612010B00118a586111e88c4e1d,955628.0938156000,1944275.9279890100
100037612010B00118dbf855ddc34468f,955617.3316594010,1944510.2815848600
100037612010B001117d3af64e5db4d07,955619.3292750650,1944526.5539998700
100037612010B00110a63d8eaecf84416,955683.2279636760,1944636.2787504900
100037612010B0011367f86fa71384f15,955659.6106115050,1944179.6242731300
100037612010B001181fbd5e8e39541e1,955594.9993316230,1944111.2679346800
100037612010B0011f999424fcc074a5a,955658.8004013840,1944607.4510482900
100037612010B001195d209bef4424a79,955603.1898271760,1944282.1536513900
100037612010B0011c2645521cf7941e5,955601.9143974020,1944257.0606966300
100037612010B001122764ad86b974d0d,955640.3431298130,1944437.0645807200
100037612010B0011273017096aab4e58,955705.4827453050,1944545.3550945000
100037612010B00111a736da48bc241a2,955637.6965440420,1944425.1879526400
100037612010B001152491d8b6d8f4735,955681.0353615000,1944546.3978859700
100037612010B001122a920fcf4684b84,955708.9582592430,1944478.3141376900
100037612010B00113bf154f9b96247b8,955603.4296749560,1944344.9693695800
100037612010B0011080ed4561a534fdd,955600.5497715680,1944592.1900306700
100037612010B0011ce2ebe0dec0d4941,955679.3937069500,1944505.4677662100
100037612010B00119938446898cb4da5,955617.4566147040,1944344.0256936300
100037612010B0011633959baf89c422e,955678.3656174910,1944564.6109362700
100037612010B0011ce25a00ec1624edc,955690.4704766420,1944387.7063452100
100037612010B0011e57380df4aae4fd3,955685.1323315820,1944432.9526265000
100037612010B0011a5213ac2a1c94bce,955611.7235332690,1944556.7401740300
100037612010B0011aabce3316b1444e4,955684.3067274080,1944482.6373981600
100037612010B001168a6d79c10e142b9,955593.5123398410,1944198.4094609000
100037612010B0011a5f3164e85344b64,955626.3425471710,1944228.7188446700
100037612010B0011b3b8c73e14c84c69,955671.2037290130,1944389.6959417700
100037612010B00113db2f17f04af4341,955657.5739858890,1944197.8612389600
100037612010B0011acefe3b7b4a549ec,955588.5728908860,1944141.3577113100
100037612010B0011758b0837b287432f,955714.1571034650,1944562.5405032300
100037612010B001100f8e4eec93c415a,955672.1170227010,1944582.3808238300
100037612010B0011fa31cac341e84f71,955705.2932557060,1944431.8699997000
100037612010B0011ef6914e162134045,955645.4260160770,1944463.9647262300
100037612010B001188b9565c3669489a,955676.4764622300,1944412.8841743100
100037612010B001102cee0011e864e6d,955711.3504754350,1944503.0636738800
100037612010B00110a13f522d9c34729,955706.8618803860,1944593.7101923700
100037612010B00116cc83c850d3f41f3,955613.3225180730,1944183.0795163600
100037612010B0011f3afd1eb8a074f25,955643.7184835210,1944119.2783156000
100037612010B00118ac1c8907ca8442f,955700.5344864640,1944564.0459794500
100037612010B00119993f54ad0d94122,955647.7385710030,1944483.8714626200
100037612010B001139c12f4fcb1a46f3,955638.0188025550,1944413.4117698100
100037612010B0011326c4893ef5f4b28,955649.0264568690,1944138.7099527500
100037612010B00112ac967a3c9b347f5,955703.7970307470,1944409.7514546800
100037612010B0011152d5b02486644f7,955612.0334813750,1944136.5198969600
100037612010B0011fabc529724784f28,955709.1270233360,1944458.1715431900
100037612010B0011324da4e509ee46ae,955648.8651144980,1944157.3664100900
100037612010B0011ce87f6fb30584153,955648.0222871390,1944523.3533673800
100037612010B001171ca991c5d56440e,955642.2849516150,1944450.1052058000
100037612010B0011f2ba8bb8e8f94220,955669.8804674780,1944107.2923279400
100037612010B0011a24fc9c702ae4b64,955705.3005580350,1944389.6491645600
100037612010B0011c02004da119c4e76,955649.5402994350,1944540.1725953400
100037612010B001166f79e24437a4faf,955645.1423345280,1944507.0175893100
100037612010B0011ea70c593fe224b29,955641.6253305400,1944550.0153099800
100037612010B00111436e499f9ff40dd,955641.2195902900,1944102.2709467900
100037612010B0011866e57c7af77459a,955659.1660216950,1944619.8422025100
100037612010B0011dddea0409849415e,955715.6863733460,1944542.1945639700
100037612010B001150bfbe90a2cb4294,955695.6350621040,1944504.1193346600
100037612010B0011f2d043b390104751,955695.2454486290,1944543.7094271400
100037612010B00110ec2d18e94ef4720,955701.2434816210,1944376.3258338000
100037612010B0011fff281f9081445dc,955594.4135274010,1944229.2361973900
100037612010B001146f26d0851b546f5,955606.4485875820,1944227.6969318200
100037612010B0011079bf73602ba4253,955673.6911622410,1944463.1433943900
100037612010B00117c059e0776ee49ab,955674.3612889040,1944374.8357132800
100037612010B001143cfa17ab93f4bb6,955678.3307807010,1944524.1582597400
100037612010B0011a330857aa70449d1,955684.6696436440,1944222.5832196300
100037612010B0011f0ff58c8628d419c,955609.0458117880,1944417.9652362800
100037612010B001120f39f39f40b49da,955677.3476584180,1944158.0895908100
100037612010B0011bf64eb0b1a934680,955609.0810332360,1944390.1698869700
100037612010B001121ca18a3e3934ba4,955605.8975582830,1944573.1638358800
100037612010B00110305410e16fb4ead,955685.9560805530,1944243.4695125200
100037612010B00110a94e8fbe72243ea,955620.1583001730,1944603.7003383500
100037612010B00118d591943abee4fc5,955609.4270051310,1944322.8892252200
100037612010B001168d0f9bec30a4030,955690.7090832090,1944458.8792664500
100037612010B00115ff5b6fe875f4b3b,955680.1035993490,1944268.8654927100
100037612010B0011fd7a0f399fec4cdb,955684.6605041470,1944200.2785216500
100037612010B00114faa0718ed5542d7,955687.5639473900,1944177.5763974200
100037612010B00117750d573aacb4012,955698.2371671130,1944360.3329502000
100037612010B00117956187d228b451e,955675.8061029750,1944137.6486069600
100037612010B00115d6fee79c06f4c5e,955681.9115562430,1944294.3606590600
100037612010B0011b20e3bf4bec14a9c,955667.8454606870,1944320.7643847400
100037612010B0011cc74738afa04413b,955671.2482377380,1944349.9594844800
100037612010B0011437418dbf271478c,955659.0257153520,1944223.1782147500
100037612010B00119994e50e4f23434f,955661.0084832160,1944245.8114350800
100037612010B0011fe57819bfb8c466c,955669.4372398410,1944595.9005769800
100037612010B0011baa705a6fd17488f,955677.1375535090,1944535.4868508900
100037612010B0011aedac073c2de4ec4,955672.2525105880,1944362.0585764800
100037612010B001152b2f580eb554d78,955636.1937784500,1944575.4026734100
100037612010B00110aa2c5c7b7eb436b,955631.5470234480,1944525.8349105600
100037612010B001127286514e8684cab,955620.9346179610,1944418.3567094700
