UFID,x,y
100037612010B0011fe822b669bf34e82,126.9980530904,37.4968566988
100037612010B00118a586111e88c4e1d,126.9980229198,37.4966765309
100037612010B00118dbf855ddc34468f,126.9978870292,37.4987883182
100037612010B001117d3af64e5db4d07,126.9979086459,37.4989350827
100037612010B00115619ef8bbaa142ba,126.9992294942,37.4984155923
100037612010B0011cc616ee6ccb44eba,126.9975796140,37.4982422373
100037612010B00115f63f375bb67409d,126.9975697217,37.4981313771
100037612010B00111855a18b999b4331,126.9991631357,37.4974599832
100037612010B00114cd40609e5a54e9f,126.9971939942,37.4985099038
100037612010B00111a736da48bc241a2,126.9981225477,37.4980223209
100037612010B001122a920fcf4684b84,126.9989255144,37.4985045866
100037612010B0011ce2ebe0dec0d4941,126.9985894192,37.4987479119
100037612010B0011ce25a00ec1624edc,126.9987218245,37.4976870219
100037612010B0011a5213ac2a1c94bce,126.9978207809,37.4992067947
100037612010B0011aabce3316b1444e4,126.9986463753,37.4985423703
100037612010B0011a5f3164e85344b64,126.9980059568,37.4962509353
100037612010B00113bf154f9b96247b8,126.9977397377,37.4972976373
100037612010B00119938446898cb4da5,126.9978984764,37.4972898062
100037612010B0011239ae1dcd05c46d4,126.9973912311,37.4979956161
100037612010B0011a72f357bb77f4203,126.9972811159,37.4980024387
100037612010B00115cc8618b7db84202,126.9972040825,37.4993528132
100037612010B0011b3b8c73e14c84c69,126.9985037456,37.4977040297
100037612010B00111c88f0ed6f6742e8,126.9972297643,37.4991357298
100037612010B00113db2f17f04af4341,126.9983611225,37.4959743065
100037612010B001100f8e4eec93c415a,126.9985024628,37.4994408046
100037612010B0011ef6914e162134045,126.9982076506,37.4983721999
100037612010B001188b9565c3669489a,126.9985619969,37.4979132859
100037612010B00115c6dcf50485e423f,126.9990277455,37.4950885668
100037612010B001102cee0011e864e6d,126.9989510866,37.4987277769
100037612010B00116cc83c850d3f41f3,126.9978614223,37.4958389472
100037612010B00112115a2d6891842a4,126.9974085989,37.4986460469
100037612010B0011152d5b02486644f7,126.9978496500,37.4954192282
100037612010B0011fabc529724784f28,126.9989286367,37.4983230429
100037612010B0011ce87f6fb30584153,126.9982334399,37.4989076136
100037612010B001171ca991c5d56440e,126.9981729523,37.4982471286
100037612010B001101e1f145ad3642b4,126.9971042324,37.4960446241
100037612010B0011bfefa45820284e8d,126.9971881820,37.4964299613
100037612010B0011fff281f9081445dc,126.9976447290,37.4962540630
